epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
89,2669.6,0.8224,0.41811,0.97254,0.98493,0.99062,0.99455,0.79381,0.81336,0.37927,1.01526,0.00021471,0.00021471,0.00021471
90,2699.05,0.82324,0.41529,0.9736,0.99318,1,0.99496,0.79261,0.8205,0.36748,1.01226,0.000198206,0.000198206,0.000198206
91,2764,0.81827,0.40313,0.99386,0.99147,0.9986,0.995,0.79387,0.81684,0.36403,1.01504,0.000181703,0.000181703,0.000181703
92,2792.47,0.80595,0.38984,0.99284,0.99175,0.99523,0.99466,0.80517,0.81225,0.36504,1.00798,0.0001652,0.0001652,0.0001652
93,2821.32,0.80588,0.38746,0.99086,0.98436,0.99565,0.99473,0.80353,0.81216,0.35818,1.00763,0.000148696,0.000148696,0.000148696
94,2850.33,0.81068,0.39108,0.99156,0.99438,0.99119,0.99489,0.79605,0.82209,0.36299,1.00989,0.000132193,0.000132193,0.000132193
95,2879.64,0.80733,0.38641,0.98942,0.99528,0.99316,0.99493,0.80023,0.82191,0.3589,1.01073,0.00011569,0.00011569,0.00011569
96,2909.48,0.80154,0.38082,0.98802,0.99101,0.98872,0.99446,0.7982,0.81093,0.35257,1.01134,9.91865e-05,9.91865e-05,9.91865e-05
97,2939.16,0.80445,0.37479,0.99535,0.99352,0.99315,0.99478,0.80562,0.80518,0.35112,1.00525,8.26832e-05,8.26832e-05,8.26832e-05
98,2968.66,0.79926,0.37343,0.983,0.99231,0.99444,0.99478,0.80434,0.81132,0.34725,1.00777,6.61799e-05,6.61799e-05,6.61799e-05
99,2998.2,0.79578,0.37425,0.98363,0.99048,0.99769,0.99469,0.8053,0.81151,0.34851,1.00512,4.96766e-05,4.96766e-05,4.96766e-05
100,3027.58,0.78928,0.37166,0.97928,0.99532,0.99517,0.99481,0.80504,0.8082,0.3454,1.00394,3.31733e-05,3.31733e-05,3.31733e-05
